comp_id,begin,end,amort,curr_assets,curr_liab,extra_exp,extra_inc,extra_profit_loss,fixed_assets,inc_bef_tax,intang_assets,inventories,liq_assets,material_exp,personnel_exp,profit_loss_year,sales,share_eq,subscribed_cap,tang_assets,balsheet_flag,balsheet_length,balsheet_notfullyear,year,founded_year,exit_year,ceo_count,foreign,female,birth_year,inoffice_days,gender,origin,nace_main,ind2,ind,urban_m,region_m,founded_date,exit_date,status_alive,ln_sales,sales_mil,sales_mil_log,d1_sales_mil_log,age,new,flag_low_d1_sales_mil_log,flag_high_d1_sales_mil_log,d1_sales_mil_log_mod,cagr_sales,fast_growth,ind2_cat,age2,foreign_management,gender_m,m_region_loc,flag_asset_problem,total_assets_bs,extra_exp_pl,extra_inc_pl,extra_profit_loss_pl,inc_bef_tax_pl,inventories_pl,material_exp_pl,profit_loss_year_pl,personnel_exp_pl,intang_assets_bs,curr_liab_bs,fixed_assets_bs,liq_assets_bs,curr_assets_bs,share_eq_bs,subscribed_cap_bs,tang_assets_bs,extra_exp_pl_flag_high,extra_inc_pl_flag_high,inventories_pl_flag_high,material_exp_pl_flag_high,personnel_exp_pl_flag_high,curr_liab_bs_flag_high,liq_assets_bs_flag_high,subscribed_cap_bs_flag_high,extra_exp_pl_flag_error,extra_inc_pl_flag_error,inventories_pl_flag_error,material_exp_pl_flag_error,personnel_exp_pl_flag_error,curr_liab_bs_flag_error,liq_assets_bs_flag_error,extra_profit_loss_pl_flag_low,inc_bef_tax_pl_flag_low,profit_loss_year_pl_flag_low,share_eq_bs_flag_low,extra_profit_loss_pl_flag_high,inc_bef_tax_pl_flag_high,profit_loss_year_pl_flag_high,share_eq_bs_flag_high,extra_profit_loss_pl_flag_zero,inc_bef_tax_pl_flag_zero,profit_loss_year_pl_flag_zero,share_eq_bs_flag_zero,extra_profit_loss_pl_quad,inc_bef_tax_pl_quad,profit_loss_year_pl_quad,share_eq_bs_quad,ceo_age,flag_low_ceo_age,flag_high_ceo_age,flag_miss_ceo_age,ceo_young,labor_avg_mod,flag_miss_labor_avg,fast_growth_f
1002029,2012-01-01,2012-12-31,14929.6298828125,203885.1875,120444.453125,0,0,0,23459.259765625,11818.5185546875,0,677.77777099609375,15077.77734375,984270.375,41037.03515625,9722.22265625,1136514.875,93144.4453125,11111.111328125,23459.259765625,0,365,0,2012,2006,NA,2,0,0,1975,3101,male,Domestic,2711,27,2,3,East,2006-07-03,NA,TRUE,13.943477010618471,1.136514875,0.1279664526541966,0.6844482192689005,6,0,0,0,0.6844482192689005,-56.32892790143818,0,27,36,0,male,East,0,227344.447265625,0,0,0,0.01039891233688208,5.963650682496291e-4,0.8660426683812651,0.00855441743008423,0.03610778535234745,0,0.5297884094977475,0.10318818008436176,0.06632129143727626,0.8968118199156382,0.4097062691998445,0.04887346694306101,0.10318818008436176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0813737779015842e-4,7.317805756812889e-5,0.16785922702165543,37,0,0,0,1,0.4583333134651184,0,no_fast_growth
1046213,2012-01-01,2012-12-31,66944.4453125,2406474,1225500,19877.77734375,0,-19877.77734375,1434974.125,124362.9609375,0,1866107.375,3659.25927734375,3342996.25,1924614.875,110022.21875,5389781.5,2482377.75,22962.962890625,1434974.125,0,365,0,2012,1998,NA,1,1,0,1941,3469,male,Foreign,2920,29,1,3,Central,1998-04-07,NA,TRUE,15.500015404030096,5.3897815,1.6845048460658223,0.04575991065673257,14,0,0,0,0.04575991065673257,24.89751529111308,0,29,196,1,male,Central,0,3841448.125,0.00368804882790703,0,-0.00368804882790703,0.02307384092240103,0.34623061714097314,0.6202470823724486,0.02041311298983085,0.35708588093970045,0,0.3190203173705489,0.3735503066307839,9.525728731124673e-4,0.6264496933692161,0.6462088434423412,0.00597768397318264,0.3735503066307839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3601704157026429e-5,5.324021349122684e-4,4.16695181935601e-4,0.4175858693430882,71,0,0,0,0,7.861111164093018,0,no_fast_growth
1109346,2012-01-01,2012-12-31,111.1111068725586,16314.814453125,1374.0740966796875,0,0,0,466.6666564941406,1137.0369873046875,0,0,13762.962890625,11014.814453125,21737.037109375,1003.7036743164062,33796.296875,15174.07421875,1851.851806640625,466.6666564941406,0,365,0,2012,2008,NA,1,0,0,1974,1995,male,Domestic,2732,27,2,2,Central,2008-02-13,NA,TRUE,10.428106515557742,0.033796296875,-3.387404042406532,0.2486721797245952,4,0,0,0,0.2486721797245952,-14.619305986210671,0,27,16,0,male,Central,0,16781.48110961914,0,0,0,0.03364383356881278,0,0.3259177919363392,0.02969862875890618,0.6431780733188686,0,0.0818803827686025,0.02780843082000953,0.8201280209251657,0.9721915691799904,0.904215433645617,0.11035091566376368,0.02780843082000953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00113190753720597,8.820085501593295e-4,0.8176055504429312,38,0,0,0,1,0.24166667461395264,0,no_fast_growth
1388236,2012-01-01,2012-12-31,3959.25927734375,75300,20292.591796875,0,0,0,40140.7421875,81877.78125,1911.111083984375,0,23803.703125,203148.140625,26237.037109375,73688.890625,317648.15625,95148.1484375,9259.2587890625,38229.62890625,0,365,0,2012,2008,NA,2,0,0.5,1973.5,2634,mix,Domestic,2899,28,2,3,East,2008-09-02,NA,TRUE,12.66869962233343,0.31764815625,-1.1468109356308442,0.03477241446900026,4,0,0,0,0.03477241446900026,2.2329818765129072,0,28,16,0,mix,East,0,117351.85327148438,0,0,0,0.2577624948830472,0,0.6395382331925624,0.23198274309202763,0.08259779442486533,0.01628530807743758,0.17292093163564848,0.34205460815891436,0.20284045340069737,0.641660083763648,0.8107937436435892,0.07890168353491551,0.3257692813577365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.06644150376833294,0.05381599309250169,0.6573864947315863,38.5,0,0,0,1,0.25,0,no_fast_growth
3080595,2012-01-01,2012-12-31,8488.888671875,195933.328125,84455.5546875,0,0,0,27918.517578125,34274.07421875,0,141107.40625,6633.33349609375,338337.03125,193792.59375,31059.259765625,403729.625,135837.03125,11111.111328125,27918.517578125,0,365,0,2012,1991,NA,1,0,0,1926,6466,male,Domestic,2821,28,2,1,Central,1991-12-19,NA,TRUE,12.908500687849347,0.403729625,-0.907009870114926,-0.6354878511226526,21,0,0,0,-0.6354878511226526,25.694017919655465,0,28,441,0,male,Central,0,223851.845703125,0,0,0,0.08489363201610484,0.34950966565805025,0.8380287457230814,0.07693084144029559,0.4800058795536741,0,0.37728326260711725,0.12471872854312256,0.02963269512144633,0.8752812714568775,0.606816668512748,0.04963600498010049,0.12471872854312256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00720692875688582,0.0059183543647119,0.36822646918491025,75,0,1,0,0,0.9469696879386902,0,no_fast_growth
4110756,2012-01-01,2012-12-31,762.9629516601564,4370.37060546875,2774.073974609375,0,0,0,1577.77783203125,159.25926208496094,0,2744.4443359375,1566.6666259765625,13874.07421875,13466.6669921875,100,29396.296875,3166.666748046875,1851.851806640625,1577.77783203125,0,365,0,2012,2008,NA,2,0,0,1972.5,2493,male,Domestic,3312,33,2,3,Central,2008-05-06,NA,TRUE,10.288623988760918,0.029396296875,-3.526886569203357,-0.35688907426073113,4,0,0,0,-0.35688907426073113,-14.840679274151023,0,33,16,0,male,Central,0,5948.1484375,0,0,0,0.00541766409429626,0.09336020613778416,0.471966733692541,0.0034017890221079,0.4581075993840636,0,0.4663760502546091,0.2652552888700922,0.26338727798041145,0.7347447111299078,0.5323785681074599,0.31133248036744626,0.2652552888700922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.9351084238626942e-5,1.1572168550933878e-5,0.28342693978014927,39.5,0,0,0,1,0.738821249653267,1,no_fast_growth
6319316,2012-01-01,2012-12-31,214.8148193359375,21507.408203125,1377.77783203125,0,0,0,314.8148193359375,151.8518524169922,0,1711.111083984375,19796.296875,3570.370361328125,7103.70361328125,125.9259262084961,12251.8515625,20444.4453125,11111.111328125,314.8148193359375,0,365,0,2012,1997,NA,2,0,0.5,1952.5,6709.5,mix,Domestic,3312,33,2,1,Central,1997-01-15,NA,TRUE,9.413432352510355,0.0122518515625,-4.402078205453919,-0.2260413971065436,15,0,0,0,-0.2260413971065436,58.333599443755865,1,33,225,0,mix,Central,0,21822.223022460938,0,0,0,0.01239419622759506,0.13966142792830422,0.2914147582603905,0.01027811392964679,0.5798065359381267,0,0.06313645638270428,0.01442634047924028,0.9071622471562264,0.9855736595207596,0.9368635492111488,0.5091649607232351,0.01442634047924028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.5361610012813173e-4,1.0563962595079946e-4,0.8777133098405108,59.5,0,0,0,0,0.125,0,fast_growth
6538183,2012-01-01,2012-12-31,774.0740966796875,9859.2587890625,944.4444580078124,0,0,0,3088.888916015625,685.1851806640625,0,0,9759.2587890625,36718.51953125,7881.4814453125,614.8148193359375,46277.77734375,12003.7041015625,55.55555725097656,3088.888916015625,0,365,0,2012,1992,NA,2,1,0,NA,6305,male,Foreign,2630,26,2,2,East,1992-08-25,NA,TRUE,10.742417153874063,0.04627777734375,-3.0730934040902107,0.41766406852538296,20,0,0,0,0.41766406852538296,3.6199561560695814,0,26,400,1,male,East,0,12948.147705078123,0,0,0,0.01480592241011331,0,0.7934374042751857,0.01328531434794525,0.1703081240650147,0,0.07294050697594463,0.23855836266095387,0.7537185249466241,0.7614416373390461,0.9270595590174474,0.00429061812672929,0.23855836266095387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.1921533841429575e-4,1.7649957732371994e-4,0.8594394259656241,48.601245497271506,0,0,1,0,0.738821249653267,1,no_fast_growth
7303016,2012-01-01,2012-12-31,0,2085.185302734375,485.1851806640625,0,0,0,0,259.2592468261719,0,0,929.629638671875,1111.111083984375,0,-266.6666564941406,1414.8148193359375,1600,1851.851806640625,0,0,365,0,2012,2009,NA,1,0,0,1981,2560,male,Domestic,2740,27,2,1,Central,2009-12-28,NA,TRUE,7.254753931785896,0.00141481481933593,-6.560756626178379,-3.1869581764746076,3,0,1,0,-1.5,30.44426855667579,0,27,9,0,male,Central,0,2085.185302734375,0,0,0,0.18324606392507164,0,0.7853402924531777,-0.18848166760036075,0,0,0.2326820451054506,0,0.4458259117080961,1,0.7673178963528398,0.8880993953929314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.03357911994403144,0.03552533902141288,0.5887767540633473,31,0,0,0,1,0.738821249653267,1,no_fast_growth
8416055,2012-01-01,2012-12-31,362.96295166015625,112729.6328125,1062.9630126953125,0,0,0,8114.81494140625,-5818.5185546875,0,9981.4814453125,96744.4453125,56218.51953125,18233.333984375,-5974.07421875,72518.515625,120570.3671875,11111.111328125,8114.81494140625,0,365,0,2012,1995,NA,1,0,1,1960,5338,female,Domestic,2651,26,2,1,Central,1995-08-28,NA,TRUE,11.191597196167857,0.072518515625,-2.62391336179642,-0.32856134380690394,17,0,0,0,-0.32856134380690394,-23.23243912460775,0,26,289,0,female,Central,0,120844.44775390624,0,0,0,-0.080234937305882,0.1376404544313575,0.7752298712505534,-0.0823799848530063,0.25143004965326743,0,0.00879612619737386,0.06715091253453091,0.8005700477817176,0.9328490874654692,0.9977319556545584,0.09194556750139012,0.06715091253453091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0064376451644788104,0.00678646190438154,0.99546905533427,52,0,0,0,0,0.0972222238779068,0,no_fast_growth
